gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Abcb10,ENSMUSG00000031974.9,ENSMUSG00000031974,protein_coding,404.1625003192008,-0.8219645704327596,1.1199732088650822e-12,DOWN,0.8219645704327596,9.82312791350212
Paxbp1,ENSMUSG00000022974.13,ENSMUSG00000022974,protein_coding,376.0191388680735,-0.6753918786085907,1.2924752084288012e-12,DOWN,0.6753918786085907,8.029448879845724
Acot11,ENSMUSG00000034853.17,ENSMUSG00000034853,protein_coding,348.04942978730077,-0.960172188960166,1.3743964050106924e-12,DOWN,0.960172188960166,11.389454956068246
Fam219b,ENSMUSG00000032305.16,ENSMUSG00000032305,protein_coding,434.49071146102233,-0.5812566343110606,1.4059918314244574e-12,DOWN,0.5812566343110606,6.889063628914153
Bank1,ENSMUSG00000037922.14,ENSMUSG00000037922,protein_coding,124.67417161102618,-1.7437606930110094,1.4229360709568528e-12,DOWN,1.7437606930110094,20.6580096565177
Mcur1,ENSMUSG00000021371.6,ENSMUSG00000021371,protein_coding,1064.807036783581,-0.5896941748584387,1.4685309851286565e-12,DOWN,0.5896941748584387,6.977920097910272
Amd2,ENSMUSG00000063953.4,ENSMUSG00000063953,protein_coding,1332.6503933906167,-0.6278669820911276,1.668942364407744e-12,DOWN,0.6278669820911276,7.394740212930398
Slc16a13,ENSMUSG00000044367.8,ENSMUSG00000044367,protein_coding,383.76121484338785,-0.6531173612934956,1.6994873948470157e-12,DOWN,0.6531173612934956,7.686983685225798
Mettl16,ENSMUSG00000010554.15,ENSMUSG00000010554,protein_coding,516.1031965282516,-0.6113304642097851,1.8749476598192656e-12,DOWN,0.6113304642097851,7.169078987538611
Prps1,ENSMUSG00000031432.4,ENSMUSG00000031432,protein_coding,334.09646868144154,-0.8730496228659348,2.0135830501325393e-12,DOWN,0.8730496228659348,10.211214976223456
Gpr183,ENSMUSG00000051212.9,ENSMUSG00000051212,protein_coding,636.0545110534481,-0.622504119033364,2.0691385371598048e-12,DOWN,0.622504119033364,7.2734691206985005
Ada,ENSMUSG00000017697.4,ENSMUSG00000017697,protein_coding,171.31151603033828,-0.9532103650087196,2.0772567234863997e-12,DOWN,0.9532103650087196,11.135889456097786
Lrrc14,ENSMUSG00000033728.15,ENSMUSG00000033728,protein_coding,542.4475253277207,-0.682608826868446,2.0829842006585716e-12,DOWN,0.682608826868446,7.97376806230277
6030458C11Rik,ENSMUSG00000022195.8,ENSMUSG00000022195,protein_coding,410.450322494972,-0.6695936103390167,2.357361749799487e-12,DOWN,0.6695936103390167,7.785749098493656
Smim19,ENSMUSG00000031534.16,ENSMUSG00000031534,protein_coding,233.1747399792017,-0.7722349153283414,2.4777866715016635e-12,DOWN,0.7722349153283414,8.962509071867126
Xxylt1,ENSMUSG00000047434.15,ENSMUSG00000047434,protein_coding,498.7063298176368,-0.6803156994357917,2.7672067567123708e-12,DOWN,0.6803156994357917,7.86306054653167
Utp20,ENSMUSG00000004356.9,ENSMUSG00000004356,protein_coding,364.3077965716876,-1.0818351085442612,2.7717790510201407e-12,DOWN,1.0818351085442612,12.503029495715573
Wdr3,ENSMUSG00000033285.16,ENSMUSG00000033285,protein_coding,841.8717843668057,-0.5583102096496683,2.777995492687525e-12,DOWN,0.5583102096496683,6.4519826684810155
Atg9b,ENSMUSG00000038295.15,ENSMUSG00000038295,protein_coding,144.49908058601318,-1.1189119280683253,3.250333887965266e-12,DOWN,1.1189119280683253,12.85414081835643
Pus7,ENSMUSG00000057541.15,ENSMUSG00000057541,protein_coding,222.0660160315927,-1.1778313186219302,3.357678712771423e-12,DOWN,1.1778313186219302,13.514390452705188
Rnase6,ENSMUSG00000021880.8,ENSMUSG00000021880,protein_coding,356.4127751213201,-0.8908052250062176,3.4772893421176587e-12,DOWN,0.8908052250062176,10.20752254122283
Entpd6,ENSMUSG00000033068.17,ENSMUSG00000033068,protein_coding,286.4280263800839,-0.7548133155535458,3.507870880181346e-12,DOWN,0.7548133155535458,8.64635362039707
Impdh2,ENSMUSG00000062867.14,ENSMUSG00000062867,protein_coding,1569.165797659178,-0.5936855824069289,3.7072250971374625e-12,DOWN,0.5936855824069289,6.786390827702511
Slc16a6,ENSMUSG00000041920.15,ENSMUSG00000041920,protein_coding,1123.8334455684446,-0.778012929903797,3.745781680690851e-12,DOWN,0.778012929903797,8.88993170807607
Sptlc1,ENSMUSG00000021468.9,ENSMUSG00000021468,protein_coding,1967.4505971295955,-0.5117589831207511,4.006658653075674e-12,DOWN,0.5117589831207511,5.8326285178719095
Eogt,ENSMUSG00000035245.13,ENSMUSG00000035245,protein_coding,365.8775017135259,-0.8507461217407646,4.933650504699485e-12,DOWN,0.8507461217407646,9.61924314885423
Accs,ENSMUSG00000040272.15,ENSMUSG00000040272,protein_coding,88.61889768759427,-1.1408691095466144,4.939448952970073e-12,DOWN,1.1408691095466144,12.899032940186054
Mmachc,ENSMUSG00000028690.5,ENSMUSG00000028690,protein_coding,151.26010263766102,-1.197106516582318,4.982434735003057e-12,DOWN,1.197106516582318,13.530366292451161
